,FAA,name,state,city
4809,K25M,Ripley Airport,MS,Ripley
4810,OI68,Hilty Field,OH,Rittman
4811,K33S,Pru Field,WA,Ritzville
4812,6WI2,St Croix Riviera Airport,WI,River Falls
4813,ID12,Russell W Anderson Strip,ID,Riverside
4814,CA18,Sunrise Dusters Airport,CA,Robbins
4815,AL84,Pecan Ponds Farm Airport,AL,Robertsdale
4816,1AL4,Elsanor Airport,AL,Robertsdale
4817,17NK,Re-Dun Field,NY,Rock Stream
4818,KECU,Edwards County Airport,TX,Rocksprings
4819,US-3877,Greenwood Valley Ranch Airport,TX,Rocksprings
4820,US-4455,Kubik Ranch Airport,TX,Rocksprings
4821,K2Y4,Rockwell City Municipal Airport,IA,Rockwell City
4822,K3RC,Roscommon Conservation Airport,MI,Roscommon
4823,NC69,Twin Oak Airport,NC,Roseboro
4824,91TS,Songbird Ranch Airport,TX,Rosharon
4825,56WV,Cheat River Island Airport,WV,Rowlesburg
4826,03NV,Llama Ranch Airport,NV,Ruby Valley
4827,5IA5,Folkerts Airport,IA,Rudd
4828,K9V5,Modisett Airport,NE,Rushville
4829,US-0353,Buds Field,AR,Russell
4830,KM22,Bill Pugh Field,AL,Russellville
4831,02KS,JMJ Landing Airport,KS,Saint Marys
4832,91KS,St. Joseph's Landing Airport,KS,Saint Marys
4833,6MO2,Sainte Genevieve Flying Club Airport,MO,Sainte Genevieve
4834,0AK0,Scotts Airport,AK,Salcha
4835,8G8,Koons Airport,OH,Salem
4836,KSLO,Salem–Leckrone Airport,IL,Salem
4837,1CO7,Dodsworth Airport,CO,Salida
4838,CO11,Granite Mountain Lodge Airport,CO,Salida
4839,2TA3,Triangle Ranch Private Airport,TX,Salt Flat
4840,K6J4,Saluda County Airport,SC,Saluda
4841,2VA6,Nimcock Airport,VA,Saluda
4842,94TA,Reece Field,TX,San Angelo
4843,KNUC,San Clemente Island Naval Auxiliary Landing Field,CA,San Clemente Island
4844,CA32,San Joaquin Airport,CA,San Joaquin
4845,44A,Rolle Airfield,AZ,San Luis
4846,7TS2,Alison Air Park,TX,San Marcos
4847,US-0249,Hearst San Simeon Airstrip,CA,San Simeon
4848,IS65,Woodlake Landing Airport,IL,Sandwich
4849,4OR6,Auberge Des Fleurs Airport,OR,Sandy
4850,03S,Sandy River Airport,OR,Sandy
4851,K3L2,Sky Ranch Airport,NV,Sandy Valley
4852,CL77,Bonny Doon Village Airport,CA,Santa Cruz
4853,38XS,San Rafael Ranch Airport,TX,Santa Elena
